Epoch 92/150 | Train Acc: 0.7528 | Test Acc: 0.4936
Epoch 93/150 | Train Acc: 0.7656 | Test Acc: 0.5000
Epoch 94/150 | Train Acc: 0.7504 | Test Acc: 0.5016
Epoch 95/150 | Train Acc: 0.7488 | Test Acc: 0.4984
Epoch 96/150 | Train Acc: 0.7656 | Test Acc: 0.4984
Epoch 97/150 | Train Acc: 0.7600 | Test Acc: 0.4976
Epoch 98/150 | Train Acc: 0.7608 | Test Acc: 0.4976
Epoch 99/150 | Train Acc: 0.7680 | Test Acc: 0.5000
Epoch 100/150 | Train Acc: 0.7616 | Test Acc: 0.5032
Epoch 101/150 | Train Acc: 0.7688 | Test Acc: 0.5016
Epoch 102/150 | Train Acc: 0.7504 | Test Acc: 0.4976
Epoch 103/150 | Train Acc: 0.7696 | Test Acc: 0.5040
Epoch 104/150 | Train Acc: 0.7648 | Test Acc: 0.5000
Epoch 105/150 | Train Acc: 0.7624 | Test Acc: 0.5000
Epoch 106/150 | Train Acc: 0.7560 | Test Acc: 0.5112
Epoch 107/150 | Train Acc: 0.7712 | Test Acc: 0.4976
Epoch 108/150 | Train Acc: 0.7720 | Test Acc: 0.5032
Epoch 109/150 | Train Acc: 0.7552 | Test Acc: 0.4976
Epoch 110/150 | Train Acc: 0.7760 | Test Acc: 0.4992
Epoch 111/150 | Train Acc: 0.7752 | Test Acc: 0.5032
Epoch 112/150 | Train Acc: 0.7608 | Test Acc: 0.4960
Epoch 113/150 | Train Acc: 0.7576 | Test Acc: 0.5088
Epoch 114/150 | Train Acc: 0.7720 | Test Acc: 0.4984
Epoch 115/150 | Train Acc: 0.7648 | Test Acc: 0.5048
Epoch 116/150 | Train Acc: 0.7760 | Test Acc: 0.4976
Epoch 117/150 | Train Acc: 0.7680 | Test Acc: 0.5016
Epoch 118/150 | Train Acc: 0.7688 | Test Acc: 0.5032
Epoch 119/150 | Train Acc: 0.7768 | Test Acc: 0.4984
Epoch 120/150 | Train Acc: 0.7776 | Test Acc: 0.4968
Epoch 121/150 | Train Acc: 0.7664 | Test Acc: 0.4984
Epoch 122/150 | Train Acc: 0.7736 | Test Acc: 0.4952
Epoch 123/150 | Train Acc: 0.7624 | Test Acc: 0.4952
Epoch 124/150 | Train Acc: 0.7664 | Test Acc: 0.4992
Epoch 125/150 | Train Acc: 0.7720 | Test Acc: 0.5008
Epoch 126/150 | Train Acc: 0.7720 | Test Acc: 0.5000
Epoch 127/150 | Train Acc: 0.7632 | Test Acc: 0.4960
Epoch 128/150 | Train Acc: 0.7568 | Test Acc: 0.5000
Epoch 129/150 | Train Acc: 0.7688 | Test Acc: 0.4952
Epoch 130/150 | Train Acc: 0.7656 | Test Acc: 0.4992
Epoch 131/150 | Train Acc: 0.7712 | Test Acc: 0.5008
Epoch 132/150 | Train Acc: 0.7696 | Test Acc: 0.5008
Epoch 133/150 | Train Acc: 0.7744 | Test Acc: 0.4992
Epoch 134/150 | Train Acc: 0.7768 | Test Acc: 0.5016
Epoch 135/150 | Train Acc: 0.7688 | Test Acc: 0.5080
Epoch 136/150 | Train Acc: 0.7600 | Test Acc: 0.5088
Epoch 137/150 | Train Acc: 0.7760 | Test Acc: 0.5144
Epoch 138/150 | Train Acc: 0.7688 | Test Acc: 0.5008
Epoch 139/150 | Train Acc: 0.7664 | Test Acc: 0.5056
